Hierarchy,Leaf,Description,Source / Example,
Analyze -> Structured Data Analysis,Chemical Structure Analysis,"This task requires the VLM to deconstruct a visual scene into its components and examine the relationships or anomalies associated with 'Chemical Structure Analysis'. It assesses high-level reasoning, such as identifying atypical attributes, resolving complex coreferences, or interpreting structured data (charts/diagrams) through logical deduction.","Image Context: A complex image featuring 'Chemical Structure Analysis' in a way that requires multi-step analysis (e.g., a graph with multiple trends, a scene with an 'impossible' object, or a sentence with ambiguous pronouns). The model must filter out distractors.

Question: Based on an analytical deconstruction of the 'Chemical Structure Analysis' and its relationship to the surrounding visual evidence, what is the primary conclusion regarding its internal logic or the anomaly present?

(A) The element is standard and aligns perfectly with its typical real-world properties.

(B) A specific analytical check reveals a significant anomaly or pattern that distinguishes this instance of 'Chemical Structure Analysis'.

(C) The data provided by the 'Chemical Structure Analysis' is self-contradictory when compared with the visual context.
(D) The analysis shows that 'Chemical Structure Analysis' is the only element that does NOT contribute to the scene's logic.",
Analyze -> Structured Data Analysis,Sheet Music Analysis,"This task requires the VLM to deconstruct a visual scene into its components and examine the relationships or anomalies associated with 'Sheet Music Analysis'. It assesses high-level reasoning, such as identifying atypical attributes, resolving complex coreferences, or interpreting structured data (charts/diagrams) through logical deduction.","Image Context: A complex image featuring 'Sheet Music Analysis' in a way that requires multi-step analysis (e.g., a graph with multiple trends, a scene with an 'impossible' object, or a sentence with ambiguous pronouns). The model must filter out distractors.

Question: Based on an analytical deconstruction of the 'Sheet Music Analysis' and its relationship to the surrounding visual evidence, what is the primary conclusion regarding its internal logic or the anomaly present?

(A) The element is standard and aligns perfectly with its typical real-world properties.

(B) A specific analytical check reveals a significant anomaly or pattern that distinguishes this instance of 'Sheet Music Analysis'.

(C) The data provided by the 'Sheet Music Analysis' is self-contradictory when compared with the visual context.
(D) The analysis shows that 'Sheet Music Analysis' is the only element that does NOT contribute to the scene's logic.",
Analyze -> Structured Data Analysis,Document Analysis,"This task requires the VLM to deconstruct a visual scene into its components and examine the relationships or anomalies associated with 'Document Analysis'. It assesses high-level reasoning, such as identifying atypical attributes, resolving complex coreferences, or interpreting structured data (charts/diagrams) through logical deduction.","Image Context: A complex image featuring 'Document Analysis' in a way that requires multi-step analysis (e.g., a graph with multiple trends, a scene with an 'impossible' object, or a sentence with ambiguous pronouns). The model must filter out distractors.

Question: Based on an analytical deconstruction of the 'Document Analysis' and its relationship to the surrounding visual evidence, what is the primary conclusion regarding its internal logic or the anomaly present?

(A) The element is standard and aligns perfectly with its typical real-world properties.

(B) A specific analytical check reveals a significant anomaly or pattern that distinguishes this instance of 'Document Analysis'.

(C) The data provided by the 'Document Analysis' is self-contradictory when compared with the visual context.
(D) The analysis shows that 'Document Analysis' is the only element that does NOT contribute to the scene's logic.",
Analyze -> Structured Data Analysis,Diagram Analysis,"This task requires the VLM to deconstruct a visual scene into its components and examine the relationships or anomalies associated with 'Diagram Analysis'. It assesses high-level reasoning, such as identifying atypical attributes, resolving complex coreferences, or interpreting structured data (charts/diagrams) through logical deduction.","Image Context: A complex image featuring 'Diagram Analysis' in a way that requires multi-step analysis (e.g., a graph with multiple trends, a scene with an 'impossible' object, or a sentence with ambiguous pronouns). The model must filter out distractors.

Question: Based on an analytical deconstruction of the 'Diagram Analysis' and its relationship to the surrounding visual evidence, what is the primary conclusion regarding its internal logic or the anomaly present?

(A) The element is standard and aligns perfectly with its typical real-world properties.

(B) A specific analytical check reveals a significant anomaly or pattern that distinguishes this instance of 'Diagram Analysis'.

(C) The data provided by the 'Diagram Analysis' is self-contradictory when compared with the visual context.
(D) The analysis shows that 'Diagram Analysis' is the only element that does NOT contribute to the scene's logic.",
Analyze -> Structured Data Analysis,Chart Analysis,"This task requires the VLM to deconstruct a visual scene into its components and examine the relationships or anomalies associated with 'Chart Analysis'. It assesses high-level reasoning, such as identifying atypical attributes, resolving complex coreferences, or interpreting structured data (charts/diagrams) through logical deduction.","Image Context: A complex image featuring 'Chart Analysis' in a way that requires multi-step analysis (e.g., a graph with multiple trends, a scene with an 'impossible' object, or a sentence with ambiguous pronouns). The model must filter out distractors.

Question: Based on an analytical deconstruction of the 'Chart Analysis' and its relationship to the surrounding visual evidence, what is the primary conclusion regarding its internal logic or the anomaly present?

(A) The element is standard and aligns perfectly with its typical real-world properties.

(B) A specific analytical check reveals a significant anomaly or pattern that distinguishes this instance of 'Chart Analysis'.

(C) The data provided by the 'Chart Analysis' is self-contradictory when compared with the visual context.
(D) The analysis shows that 'Chart Analysis' is the only element that does NOT contribute to the scene's logic.",
Analyze -> Structured Data Analysis,Table Analysis,"This task requires the VLM to deconstruct a visual scene into its components and examine the relationships or anomalies associated with 'Table Analysis'. It assesses high-level reasoning, such as identifying atypical attributes, resolving complex coreferences, or interpreting structured data (charts/diagrams) through logical deduction.","Image Context: A complex image featuring 'Table Analysis' in a way that requires multi-step analysis (e.g., a graph with multiple trends, a scene with an 'impossible' object, or a sentence with ambiguous pronouns). The model must filter out distractors.

Question: Based on an analytical deconstruction of the 'Table Analysis' and its relationship to the surrounding visual evidence, what is the primary conclusion regarding its internal logic or the anomaly present?

(A) The element is standard and aligns perfectly with its typical real-world properties.

(B) A specific analytical check reveals a significant anomaly or pattern that distinguishes this instance of 'Table Analysis'.

(C) The data provided by the 'Table Analysis' is self-contradictory when compared with the visual context.
(D) The analysis shows that 'Table Analysis' is the only element that does NOT contribute to the scene's logic.",
Analyze -> Contextual Inference,Comparative Reasoning,"This task requires the VLM to deconstruct a visual scene into its components and examine the relationships or anomalies associated with 'Comparative Reasoning'. It assesses high-level reasoning, such as identifying atypical attributes, resolving complex coreferences, or interpreting structured data (charts/diagrams) through logical deduction.","Image Context: A complex image featuring 'Comparative Reasoning' in a way that requires multi-step analysis (e.g., a graph with multiple trends, a scene with an 'impossible' object, or a sentence with ambiguous pronouns). The model must filter out distractors.

Question: Based on an analytical deconstruction of the 'Comparative Reasoning' and its relationship to the surrounding visual evidence, what is the primary conclusion regarding its internal logic or the anomaly present?

(A) The element is standard and aligns perfectly with its typical real-world properties.

(B) A specific analytical check reveals a significant anomaly or pattern that distinguishes this instance of 'Comparative Reasoning'.

(C) The data provided by the 'Comparative Reasoning' is self-contradictory when compared with the visual context.
(D) The analysis shows that 'Comparative Reasoning' is the only element that does NOT contribute to the scene's logic.",
Analyze -> Contextual Inference,Pronoun Resolution,"This task requires the VLM to deconstruct a visual scene into its components and examine the relationships or anomalies associated with 'Pronoun Resolution'. It assesses high-level reasoning, such as identifying atypical attributes, resolving complex coreferences, or interpreting structured data (charts/diagrams) through logical deduction.","Image Context: A complex image featuring 'Pronoun Resolution' in a way that requires multi-step analysis (e.g., a graph with multiple trends, a scene with an 'impossible' object, or a sentence with ambiguous pronouns). The model must filter out distractors.

Question: Based on an analytical deconstruction of the 'Pronoun Resolution' and its relationship to the surrounding visual evidence, what is the primary conclusion regarding its internal logic or the anomaly present?

(A) The element is standard and aligns perfectly with its typical real-world properties.

(B) A specific analytical check reveals a significant anomaly or pattern that distinguishes this instance of 'Pronoun Resolution'.

(C) The data provided by the 'Pronoun Resolution' is self-contradictory when compared with the visual context.
(D) The analysis shows that 'Pronoun Resolution' is the only element that does NOT contribute to the scene's logic.",
Analyze -> Contextual Inference,Commonsense reasooning,"This task requires the VLM to deconstruct a visual scene into its components and examine the relationships or anomalies associated with 'Commonsense reasooning'. It assesses high-level reasoning, such as identifying atypical attributes, resolving complex coreferences, or interpreting structured data (charts/diagrams) through logical deduction.","Image Context: A complex image featuring 'Commonsense reasooning' in a way that requires multi-step analysis (e.g., a graph with multiple trends, a scene with an 'impossible' object, or a sentence with ambiguous pronouns). The model must filter out distractors.

Question: Based on an analytical deconstruction of the 'Commonsense reasooning' and its relationship to the surrounding visual evidence, what is the primary conclusion regarding its internal logic or the anomaly present?

(A) The element is standard and aligns perfectly with its typical real-world properties.

(B) A specific analytical check reveals a significant anomaly or pattern that distinguishes this instance of 'Commonsense reasooning'.

(C) The data provided by the 'Commonsense reasooning' is self-contradictory when compared with the visual context.
(D) The analysis shows that 'Commonsense reasooning' is the only element that does NOT contribute to the scene's logic.",
Analyze -> Contextual Inference,Ellipsis Resolution,"This task requires the VLM to deconstruct a visual scene into its components and examine the relationships or anomalies associated with 'Ellipsis Resolution'. It assesses high-level reasoning, such as identifying atypical attributes, resolving complex coreferences, or interpreting structured data (charts/diagrams) through logical deduction.","Image Context: A complex image featuring 'Ellipsis Resolution' in a way that requires multi-step analysis (e.g., a graph with multiple trends, a scene with an 'impossible' object, or a sentence with ambiguous pronouns). The model must filter out distractors.

Question: Based on an analytical deconstruction of the 'Ellipsis Resolution' and its relationship to the surrounding visual evidence, what is the primary conclusion regarding its internal logic or the anomaly present?

(A) The element is standard and aligns perfectly with its typical real-world properties.

(B) A specific analytical check reveals a significant anomaly or pattern that distinguishes this instance of 'Ellipsis Resolution'.

(C) The data provided by the 'Ellipsis Resolution' is self-contradictory when compared with the visual context.
(D) The analysis shows that 'Ellipsis Resolution' is the only element that does NOT contribute to the scene's logic.",
Analyze -> Contextual Inference,Ambiguity Resolution,"This task requires the VLM to deconstruct a visual scene into its components and examine the relationships or anomalies associated with 'Ambiguity Resolution'. It assesses high-level reasoning, such as identifying atypical attributes, resolving complex coreferences, or interpreting structured data (charts/diagrams) through logical deduction.","Image Context: A complex image featuring 'Ambiguity Resolution' in a way that requires multi-step analysis (e.g., a graph with multiple trends, a scene with an 'impossible' object, or a sentence with ambiguous pronouns). The model must filter out distractors.

Question: Based on an analytical deconstruction of the 'Ambiguity Resolution' and its relationship to the surrounding visual evidence, what is the primary conclusion regarding its internal logic or the anomaly present?

(A) The element is standard and aligns perfectly with its typical real-world properties.

(B) A specific analytical check reveals a significant anomaly or pattern that distinguishes this instance of 'Ambiguity Resolution'.

(C) The data provided by the 'Ambiguity Resolution' is self-contradictory when compared with the visual context.
(D) The analysis shows that 'Ambiguity Resolution' is the only element that does NOT contribute to the scene's logic.",
Analyze -> Logical and Scientific Reasoning,Math Reasoning,"This task requires the VLM to deconstruct a visual scene into its components and examine the relationships or anomalies associated with 'Math Reasoning'. It assesses high-level reasoning, such as identifying atypical attributes, resolving complex coreferences, or interpreting structured data (charts/diagrams) through logical deduction.","Image Context: A complex image featuring 'Math Reasoning' in a way that requires multi-step analysis (e.g., a graph with multiple trends, a scene with an 'impossible' object, or a sentence with ambiguous pronouns). The model must filter out distractors.

Question: Based on an analytical deconstruction of the 'Math Reasoning' and its relationship to the surrounding visual evidence, what is the primary conclusion regarding its internal logic or the anomaly present?

(A) The element is standard and aligns perfectly with its typical real-world properties.

(B) A specific analytical check reveals a significant anomaly or pattern that distinguishes this instance of 'Math Reasoning'.

(C) The data provided by the 'Math Reasoning' is self-contradictory when compared with the visual context.
(D) The analysis shows that 'Math Reasoning' is the only element that does NOT contribute to the scene's logic.",
Analyze -> Logical and Scientific Reasoning,Scientific Reasoning,"This task requires the VLM to deconstruct a visual scene into its components and examine the relationships or anomalies associated with 'Scientific Reasoning'. It assesses high-level reasoning, such as identifying atypical attributes, resolving complex coreferences, or interpreting structured data (charts/diagrams) through logical deduction.","Image Context: A complex image featuring 'Scientific Reasoning' in a way that requires multi-step analysis (e.g., a graph with multiple trends, a scene with an 'impossible' object, or a sentence with ambiguous pronouns). The model must filter out distractors.

Question: Based on an analytical deconstruction of the 'Scientific Reasoning' and its relationship to the surrounding visual evidence, what is the primary conclusion regarding its internal logic or the anomaly present?

(A) The element is standard and aligns perfectly with its typical real-world properties.

(B) A specific analytical check reveals a significant anomaly or pattern that distinguishes this instance of 'Scientific Reasoning'.

(C) The data provided by the 'Scientific Reasoning' is self-contradictory when compared with the visual context.
(D) The analysis shows that 'Scientific Reasoning' is the only element that does NOT contribute to the scene's logic.",
Analyze -> Logical and Scientific Reasoning,Logic Reasoning,"This task requires the VLM to deconstruct a visual scene into its components and examine the relationships or anomalies associated with 'Logic Reasoning'. It assesses high-level reasoning, such as identifying atypical attributes, resolving complex coreferences, or interpreting structured data (charts/diagrams) through logical deduction.","Image Context: A complex image featuring 'Logic Reasoning' in a way that requires multi-step analysis (e.g., a graph with multiple trends, a scene with an 'impossible' object, or a sentence with ambiguous pronouns). The model must filter out distractors.

Question: Based on an analytical deconstruction of the 'Logic Reasoning' and its relationship to the surrounding visual evidence, what is the primary conclusion regarding its internal logic or the anomaly present?

(A) The element is standard and aligns perfectly with its typical real-world properties.

(B) A specific analytical check reveals a significant anomaly or pattern that distinguishes this instance of 'Logic Reasoning'.

(C) The data provided by the 'Logic Reasoning' is self-contradictory when compared with the visual context.
(D) The analysis shows that 'Logic Reasoning' is the only element that does NOT contribute to the scene's logic.",
Analyze -> Atypical Attribute Identification,Color,"This task evaluates high-level cognitive deconstruction. The VLM must identify how the Color violates physical laws, typical visual norms, or logical consistency within the scene. It requires the model to compare the visual evidence against a 'world model' of reality to find anomalies.","""Image Context: A surreal or digitally edited image where an object possesses an impossible color (e.g., a 'Size' contradiction like a giant ant next to a house, or a 'Color' contradiction like a purple banana). Question: After analyzing the structural logic of the scene, what is the primary anomaly identified regarding the color? (A) The color exhibits an impossible physical attribute. (B) The color is normal but the lighting is incorrect. (C) The color matches the background too closely. (D) There is no anomaly present.""",
Analyze -> Atypical Attribute Identification,Shape,"Evaluates the VLM's ability to detect 'impossible' or logically inconsistent shapes. This tests if the model can identify when a shape violates 3D perspective or geometric laws (e.g., a Penrose triangle or a square wheel).","Image Context: A bicycle leaning against a wall, but the front wheel is perfectly square while the back wheel is circular. Question: After analyzing the structural geometry of the vehicle, what is the primary logical anomaly identified? (A) The bicycle is missing its handlebars. (B) The shape of the front wheel is functionally impossible for the vehicle's intended use. (C) The bicycle is the wrong size for the wall. (D) The background is out of focus.",
Analyze -> Atypical Attribute Identification,Size,"Tests the detection of 'Size' anomalies that violate the relative proportions of reality. It requires the model to know the typical scale of objects (e.g., a giant cat next to a skyscraper).","""Image Context: A kitchen counter where a standard coffee mug is sitting next to a toaster, but the mug is twice the height of the toaster. Question: Based on your knowledge of typical object scales, what is the primary anomaly regarding the 'Size' attribute in this scene? (A) The toaster is smaller than a spoon. (B) The coffee mug is disproportionately large compared to the toaster. (C) The objects are too far apart. (D) The mug is the same size as a breadcrumb.""",
Analyze -> Atypical Attribute Identification,Texture,"This task requires the VLM to deconstruct a visual scene into its components and examine the relationships or anomalies associated with 'Texture'. It assesses high-level reasoning, such as identifying atypical attributes, resolving complex coreferences, or interpreting structured data (charts/diagrams) through logical deduction.","Image Context: A complex image featuring 'Texture' in a way that requires multi-step analysis (e.g., a graph with multiple trends, a scene with an 'impossible' object, or a sentence with ambiguous pronouns). The model must filter out distractors.

Question: Based on an analytical deconstruction of the 'Texture' and its relationship to the surrounding visual evidence, what is the primary conclusion regarding its internal logic or the anomaly present?

(A) The element is standard and aligns perfectly with its typical real-world properties.

(B) A specific analytical check reveals a significant anomaly or pattern that distinguishes this instance of 'Texture'.

(C) The data provided by the 'Texture' is self-contradictory when compared with the visual context.
(D) The analysis shows that 'Texture' is the only element that does NOT contribute to the scene's logic.",
Analyze -> Atypical Attribute Identification,Artistic Style,"""Assesses the model's ability to identify 'Stylistic Anachronisms' or inconsistencies where the style and the object's logic clash (e.g., a medieval knight holding a laser gun rendered in a 14th-century tapestry style).""","""Image Context: A classical oil painting of an 18th-century royal court, but one of the figures in the background is wearing a modern VR headset. Question: Analyze the stylistic and logical consistency of the image. What is the primary 'Anachronism' detected? (A) The color of the king's robe is too bright. (B) The presence of a modern digital device in a historical artistic setting. (C) The painting lacks a frame. (D) The style is too modern for the subject.""",
Analyze -> Temporal Reasoning -> Sequence Inference,Preceding Event,"Tests the model's ability to infer the likely preceding action or event that led to the current visual state of the scene (e.g., inferring a glass was knocked over rather than placed).",Image: A shattered glass on the floor next to a table. Question: What most likely happened immediately before this image was captured? (A) Glass placed on floor (B) Glass knocked off table (C) Glass manufactured (D) Someone drinking,
Evaluate -> Logical Coherence Evaluation,Conflicting Scenario evaluation,"This task assesses the model's capacity to judge visual content based on specific criteria like 'Conflicting Scenario evaluation'. It requires the VLM to compare the image against established standards of quality, safety, or logic, providing a justified critique based on observed evidence rather than just preference.","Image Context: A scenario that presents a dilemma, a quality issue, or a safety concern related to 'Conflicting Scenario evaluation'. The model must identify specific visual 'proof' to support its judgment according to the provided standard.

Question: Evaluate the scene based on the criteria of 'Conflicting Scenario evaluation'. Which of the following assessments is most strongly supported by the visual evidence?

(A) The scene is of optimal quality and adheres strictly to all requirements of 'Conflicting Scenario evaluation'.

(B) There is a clear deficiency or violation of 'Conflicting Scenario evaluation', as evidenced by the specific interaction of the primary subjects.

(C) The evaluation is inconclusive due to the presence of conflicting visual signals.

(D) The 'Conflicting Scenario evaluation' standard is met by the background elements but fails for the main subject.",
Evaluate -> Logical Coherence Evaluation,Object hallucination evaluation,"This task assesses the model's capacity to judge visual content based on specific criteria like 'Object hallucination evaluation'. It requires the VLM to compare the image against established standards of quality, safety, or logic, providing a justified critique based on observed evidence rather than just preference.","Image Context: A scenario that presents a dilemma, a quality issue, or a safety concern related to 'Object hallucination evaluation'. The model must identify specific visual 'proof' to support its judgment according to the provided standard.

Question: Evaluate the scene based on the criteria of 'Object hallucination evaluation'. Which of the following assessments is most strongly supported by the visual evidence?

(A) The scene is of optimal quality and adheres strictly to all requirements of 'Object hallucination evaluation'.

(B) There is a clear deficiency or violation of 'Object hallucination evaluation', as evidenced by the specific interaction of the primary subjects.

(C) The evaluation is inconclusive due to the presence of conflicting visual signals.

(D) The 'Object hallucination evaluation' standard is met by the background elements but fails for the main subject.",
Evaluate -> Quality Evaluation,Artistic Evaluation,"This task assesses the model's capacity to judge visual content based on specific criteria like 'Artistic Evaluation'. It requires the VLM to compare the image against established standards of quality, safety, or logic, providing a justified critique based on observed evidence rather than just preference.","Image Context: A scenario that presents a dilemma, a quality issue, or a safety concern related to 'Artistic Evaluation'. The model must identify specific visual 'proof' to support its judgment according to the provided standard.

Question: Evaluate the scene based on the criteria of 'Artistic Evaluation'. Which of the following assessments is most strongly supported by the visual evidence?

(A) The scene is of optimal quality and adheres strictly to all requirements of 'Artistic Evaluation'.

(B) There is a clear deficiency or violation of 'Artistic Evaluation', as evidenced by the specific interaction of the primary subjects.

(C) The evaluation is inconclusive due to the presence of conflicting visual signals.

(D) The 'Artistic Evaluation' standard is met by the background elements but fails for the main subject.",
Evaluate -> Quality Evaluation,Design Critique,"Assesses identifying violations of design principles (alignment, contrast) in a UI or layout rather than subjective preference.","""Image: UI with low contrast button. Q: Which principle is violated? (A) Alignment (B) Contrast (C) Repetition (D) Proximity""",
Evaluate -> Quality Evaluation,Image Quality Assessment,"This task assesses the model's capacity to judge visual content based on specific criteria like 'Image Quality Assessment'. It requires the VLM to compare the image against established standards of quality, safety, or logic, providing a justified critique based on observed evidence rather than just preference.","Image Context: A scenario that presents a dilemma, a quality issue, or a safety concern related to 'Image Quality Assessment'. The model must identify specific visual 'proof' to support its judgment according to the provided standard.

Question: Evaluate the scene based on the criteria of 'Image Quality Assessment'. Which of the following assessments is most strongly supported by the visual evidence?

(A) The scene is of optimal quality and adheres strictly to all requirements of 'Image Quality Assessment'.

(B) There is a clear deficiency or violation of 'Image Quality Assessment', as evidenced by the specific interaction of the primary subjects.

(C) The evaluation is inconclusive due to the presence of conflicting visual signals.

(D) The 'Image Quality Assessment' standard is met by the background elements but fails for the main subject.",
Evaluate -> Harm & Safety Evaluation,Safety Evaluation,"This task assesses the model's capacity to judge visual content based on specific criteria like 'Safety Evaluation'. It requires the VLM to compare the image against established standards of quality, safety, or logic, providing a justified critique based on observed evidence rather than just preference.","Image Context: A scenario that presents a dilemma, a quality issue, or a safety concern related to 'Safety Evaluation'. The model must identify specific visual 'proof' to support its judgment according to the provided standard.

Question: Evaluate the scene based on the criteria of 'Safety Evaluation'. Which of the following assessments is most strongly supported by the visual evidence?

(A) The scene is of optimal quality and adheres strictly to all requirements of 'Safety Evaluation'.

(B) There is a clear deficiency or violation of 'Safety Evaluation', as evidenced by the specific interaction of the primary subjects.

(C) The evaluation is inconclusive due to the presence of conflicting visual signals.

(D) The 'Safety Evaluation' standard is met by the background elements but fails for the main subject.",
Evaluate -> Harm & Safety Evaluation,Toxicity Detection,"This task assesses the model's capacity to judge visual content based on specific criteria like 'Toxicity Detection'. It requires the VLM to compare the image against established standards of quality, safety, or logic, providing a justified critique based on observed evidence rather than just preference.","Image Context: A scenario that presents a dilemma, a quality issue, or a safety concern related to 'Toxicity Detection'. The model must identify specific visual 'proof' to support its judgment according to the provided standard.

Question: Evaluate the scene based on the criteria of 'Toxicity Detection'. Which of the following assessments is most strongly supported by the visual evidence?

(A) The scene is of optimal quality and adheres strictly to all requirements of 'Toxicity Detection'.

(B) There is a clear deficiency or violation of 'Toxicity Detection', as evidenced by the specific interaction of the primary subjects.

(C) The evaluation is inconclusive due to the presence of conflicting visual signals.

(D) The 'Toxicity Detection' standard is met by the background elements but fails for the main subject.",
Evaluate -> Harm & Safety Evaluation,Contextual Suitability,"This task assesses the model's capacity to judge visual content based on specific criteria like 'Contextual Suitability'. It requires the VLM to compare the image against established standards of quality, safety, or logic, providing a justified critique based on observed evidence rather than just preference.","Image Context: A scenario that presents a dilemma, a quality issue, or a safety concern related to 'Contextual Suitability'. The model must identify specific visual 'proof' to support its judgment according to the provided standard.

Question: Evaluate the scene based on the criteria of 'Contextual Suitability'. Which of the following assessments is most strongly supported by the visual evidence?

(A) The scene is of optimal quality and adheres strictly to all requirements of 'Contextual Suitability'.

(B) There is a clear deficiency or violation of 'Contextual Suitability', as evidenced by the specific interaction of the primary subjects.

(C) The evaluation is inconclusive due to the presence of conflicting visual signals.

(D) The 'Contextual Suitability' standard is met by the background elements but fails for the main subject.",
Evaluate -> Harm & Safety Evaluation,Age-Appropriateness,"This task assesses the model's capacity to judge visual content based on specific criteria like 'Age-Appropriateness'. It requires the VLM to compare the image against established standards of quality, safety, or logic, providing a justified critique based on observed evidence rather than just preference.","Image Context: A scenario that presents a dilemma, a quality issue, or a safety concern related to 'Age-Appropriateness'. The model must identify specific visual 'proof' to support its judgment according to the provided standard.

Question: Evaluate the scene based on the criteria of 'Age-Appropriateness'. Which of the following assessments is most strongly supported by the visual evidence?

(A) The scene is of optimal quality and adheres strictly to all requirements of 'Age-Appropriateness'.

(B) There is a clear deficiency or violation of 'Age-Appropriateness', as evidenced by the specific interaction of the primary subjects.

(C) The evaluation is inconclusive due to the presence of conflicting visual signals.

(D) The 'Age-Appropriateness' standard is met by the background elements but fails for the main subject.",
Evaluate -> Harm & Safety Evaluation,Cultural Sensitivity,"This task assesses the model's capacity to judge visual content based on specific criteria like 'Cultural Sensitivity'. It requires the VLM to compare the image against established standards of quality, safety, or logic, providing a justified critique based on observed evidence rather than just preference.","Image Context: A scenario that presents a dilemma, a quality issue, or a safety concern related to 'Cultural Sensitivity'. The model must identify specific visual 'proof' to support its judgment according to the provided standard.

Question: Evaluate the scene based on the criteria of 'Cultural Sensitivity'. Which of the following assessments is most strongly supported by the visual evidence?

(A) The scene is of optimal quality and adheres strictly to all requirements of 'Cultural Sensitivity'.

(B) There is a clear deficiency or violation of 'Cultural Sensitivity', as evidenced by the specific interaction of the primary subjects.

(C) The evaluation is inconclusive due to the presence of conflicting visual signals.

(D) The 'Cultural Sensitivity' standard is met by the background elements but fails for the main subject.",
Evaluate -> Logic & Consistency -> Visual Contradiction,Visual Contradiction,"Requires the model to identify visual elements that are logically inconsistent with each other within the same scene, such as shadows and light sources not matching.","Image: Street scene where the sun is on the left, but shadows cast to the left. Question: What is logically incorrect? (A) Street empty (B) Shadow direction inconsistent (C) Sky color (D) No people",
Create,Image Captioning,"This task involves the synthesis of visual and conceptual information to generate new, original content or predict outcomes inspired by 'Image Captioning'. It represents the highest cognitive tier, testing the model's ability to 'imagine' or 'construct' narratives, questions, or creative responses grounded in the scene.","Image Context: A rich and evocative visual prompt where 'Image Captioning' provides the thematic or structural basis for a creative output. The model must go beyond the visible pixels to synthesize a novel response that is both creative and logically consistent.

Question: Inspired by the visual context and the theme of 'Image Captioning', which of the following represents the most comprehensive and creative synthesis or extension of this scene?

(A) A purely literal description of the objects currently visible in the frame.

(B) A creative or predictive output that logically extends the 'Image Captioning' theme while maintaining visual grounding.
(C) A response that focuses on a single technical attribute and ignores the creative prompt.
(D) A synthesized response that contradicts the established mood of the scene.",
Create,Visual Stroytelling,"This task involves the synthesis of visual and conceptual information to generate new, original content or predict outcomes inspired by 'Visual Stroytelling'. It represents the highest cognitive tier, testing the model's ability to 'imagine' or 'construct' narratives, questions, or creative responses grounded in the scene.","Image Context: A rich and evocative visual prompt where 'Visual Stroytelling' provides the thematic or structural basis for a creative output. The model must go beyond the visible pixels to synthesize a novel response that is both creative and logically consistent.

Question: Inspired by the visual context and the theme of 'Visual Stroytelling', which of the following represents the most comprehensive and creative synthesis or extension of this scene?

(A) A purely literal description of the objects currently visible in the frame.

(B) A creative or predictive output that logically extends the 'Visual Stroytelling' theme while maintaining visual grounding.
(C) A response that focuses on a single technical attribute and ignores the creative prompt.
(D) A synthesized response that contradicts the established mood of the scene.",
Create,Image-based Question Generation,"This task involves the synthesis of visual and conceptual information to generate new, original content or predict outcomes inspired by 'Image-based Question Generation'. It represents the highest cognitive tier, testing the model's ability to 'imagine' or 'construct' narratives, questions, or creative responses grounded in the scene.","Image Context: A rich and evocative visual prompt where 'Image-based Question Generation' provides the thematic or structural basis for a creative output. The model must go beyond the visible pixels to synthesize a novel response that is both creative and logically consistent.

Question: Inspired by the visual context and the theme of 'Image-based Question Generation', which of the following represents the most comprehensive and creative synthesis or extension of this scene?

(A) A purely literal description of the objects currently visible in the frame.

(B) A creative or predictive output that logically extends the 'Image-based Question Generation' theme while maintaining visual grounding.
(C) A response that focuses on a single technical attribute and ignores the creative prompt.
(D) A synthesized response that contradicts the established mood of the scene.",
Create -> Creative Generation,Poem,"This task involves the synthesis of visual and conceptual information to generate new, original content or predict outcomes inspired by 'Poem'. It represents the highest cognitive tier, testing the model's ability to 'imagine' or 'construct' narratives, questions, or creative responses grounded in the scene.","Image Context: A rich and evocative visual prompt where 'Poem' provides the thematic or structural basis for a creative output. The model must go beyond the visible pixels to synthesize a novel response that is both creative and logically consistent.

Question: Inspired by the visual context and the theme of 'Poem', which of the following represents the most comprehensive and creative synthesis or extension of this scene?

(A) A purely literal description of the objects currently visible in the frame.

(B) A creative or predictive output that logically extends the 'Poem' theme while maintaining visual grounding.
(C) A response that focuses on a single technical attribute and ignores the creative prompt.
(D) A synthesized response that contradicts the established mood of the scene.",
Create -> Creative Generation,Joke,"This task involves the synthesis of visual and conceptual information to generate new, original content or predict outcomes inspired by 'Joke'. It represents the highest cognitive tier, testing the model's ability to 'imagine' or 'construct' narratives, questions, or creative responses grounded in the scene.","Image Context: A rich and evocative visual prompt where 'Joke' provides the thematic or structural basis for a creative output. The model must go beyond the visible pixels to synthesize a novel response that is both creative and logically consistent.

Question: Inspired by the visual context and the theme of 'Joke', which of the following represents the most comprehensive and creative synthesis or extension of this scene?

(A) A purely literal description of the objects currently visible in the frame.

(B) A creative or predictive output that logically extends the 'Joke' theme while maintaining visual grounding.
(C) A response that focuses on a single technical attribute and ignores the creative prompt.
(D) A synthesized response that contradicts the established mood of the scene.",
